data,length_used,feature_extraction,feature_selection,model,accuracy,f1,recall,precision,roc_auc,notes
Fake Review Dataset,,HashingVectorizer(),,"KNeighborsClassifier(metric='cosine', n_neighbors=10)",0.6058813187625874,0.707366777620004,0.9527053547494156,0.562726331555462,0.7171566603355394,
Fake Review Dataset,,HashingVectorizer(n_features=10),,"KNeighborsClassifier(metric='cosine', n_neighbors=100)",0.5907944891048654,0.6060332751885104,0.6297395633146936,0.5842934220001736,0.6324229872789291,
Fake Review Dataset,,HashingVectorizer(n_features=50),,"KNeighborsClassifier(metric='cosine', n_neighbors=100)",0.6223780522362226,0.7067011852359455,0.9099491633661116,0.5777194460609149,0.7587873117328185,
Fake Review Dataset,,HashingVectorizer(n_features=100),,"KNeighborsClassifier(metric='cosine', n_neighbors=100)",0.60517643108318,0.706434892231724,0.9502140667468244,0.5622393655830651,0.777749740059456,
Fake Review Dataset,,HashingVectorizer(),,"KNeighborsClassifier(metric='cosine', n_neighbors=100)",0.5498736655027944,0.6856449470628844,0.9818029070200992,0.5268065504928601,0.7817460175947055,
Fake Review Dataset,,HashingVectorizer(n_features=10),,LGBMClassifier(force_row_wise=True),0.6198058150754253,0.6263959191650068,0.6374864527561319,0.6158380792775229,0.6709269034201555,
Fake Review Dataset,,HashingVectorizer(n_features=50),,LGBMClassifier(force_row_wise=True),0.7524483112341758,0.7540849399085363,0.7591220551125566,0.7491390992929674,0.8375591907406339,
Fake Review Dataset,,HashingVectorizer(n_features=100),,LGBMClassifier(force_row_wise=True),0.7959781214317792,0.7964266501242234,0.7983687513144423,0.7945209993339548,0.8826482485774919,
Fake Review Dataset,,HashingVectorizer(),,LGBMClassifier(force_row_wise=True),0.8448009115315662,0.8439367182405066,0.8394961097757339,0.8484313545226734,0.9301179385948152,
Fake Review Dataset,,HashingVectorizer(n_features=10),,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",0.6349177160413646,0.6425186242914123,0.6563006051707836,0.6293485353554263,0.6880357936701078,
Fake Review Dataset,,HashingVectorizer(n_features=50),,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",0.7623168687322304,0.7676266984958453,0.7851619494791624,0.7508962504997506,0.8508860485379859,
Fake Review Dataset,,HashingVectorizer(n_features=100),,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",0.7993913886215334,0.8034801363841207,0.8202758491831625,0.7874022084415528,0.8883995881923651,
Fake Review Dataset,,HashingVectorizer(),,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",0.8391124581027235,0.8365589052888431,0.8237571299445806,0.8497783338144455,0.926101921855804,
Fake Review Dataset,,HashingVectorizer(n_features=10),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.6239363071783569,0.6333457535500797,0.6496729314863028,0.6179667406298648,0.6755746602634969,
Fake Review Dataset,,HashingVectorizer(n_features=50),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.765482519573421,0.7708199769985569,0.7889563876100368,0.753516800171733,0.8519344270779688,
Fake Review Dataset,,HashingVectorizer(n_features=100),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.8038679991990394,0.8081834727953515,0.826445282383693,0.7907366799706287,0.891575055204954,
Fake Review Dataset,,HashingVectorizer(),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.8490302666637835,0.8484431760742008,0.8452423827341367,0.8516961053829846,0.9319952545024414,
Fake Review Dataset,,HashingVectorizer(n_features=10),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.6239363071783569,0.6333457535500797,0.6496729314863028,0.6179667406298648,0.6755746602634969,
Fake Review Dataset,,HashingVectorizer(n_features=50),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.765482519573421,0.7708199769985569,0.7889563876100368,0.753516800171733,0.8519344270779688,
Fake Review Dataset,,HashingVectorizer(n_features=100),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.8038679991990394,0.8081834727953515,0.826445282383693,0.7907366799706287,0.891575055204954,
Fake Review Dataset,,HashingVectorizer(),,<catboost.core.CatBoostClassifier object at 0x7834be4839d0>,0.8490302666637835,0.8484431760742008,0.8452423827341367,0.8516961053829846,0.9319952545024414,
Fake Review Dataset,,HashingVectorizer(n_features=10),,AdaBoostClassifier(n_estimators=100),0.6041005646576416,0.6119537480492572,0.6243990300526576,0.6001140411513882,0.6463478448033134,
Fake Review Dataset,,HashingVectorizer(n_features=50),,AdaBoostClassifier(n_estimators=100),0.7174512239988688,0.7246841272933805,0.7438046457547207,0.7065525051365291,0.7935301434598301,
Fake Review Dataset,,HashingVectorizer(n_features=100),,AdaBoostClassifier(n_estimators=100),0.7495298852532506,0.7578242823377558,0.7839280236584305,0.7334450791337853,0.8323932670488698,
Fake Review Dataset,,HashingVectorizer(),,AdaBoostClassifier(n_estimators=100),0.7793578741647116,0.7794141856181721,0.779717177372987,0.7791691742310007,0.8708446027654068,
